"name","long","lat","year","date"
"Danaus plexippus","-122.472998","37.799775","2016","2016-01-27"
"Danaus plexippus","-118.286758","33.884326","2016","2016-01-31"
"Danaus plexippus","-118.001948","34.144262","2016","2016-01-24"
"Danaus plexippus","-122.066187","36.972541","2016","2016-01-25"
"Danaus plexippus","-117.97879","33.697076","2016","2016-01-04"
"Danaus plexippus","-156.32246","20.741077","2016","2016-01-02"
"Danaus plexippus","-121.931203","36.626726","2016","2016-01-20"
"Danaus plexippus","-95.619315","29.860293","2016","2016-01-01"
"Danaus plexippus","-95.411125","29.869955","2016","2016-01-18"
"Danaus plexippus","-118.180671","33.779199","2016","2016-01-30"
"Danaus plexippus","-95.537961","29.892463","2016","2016-01-09"
"Danaus plexippus","-122.476359","37.768082","2016","2016-01-27"
"Danaus plexippus","-122.477622","37.770772","2016","2016-01-25"
"Danaus plexippus","-122.491875","37.770662","2016","2016-01-25"
"Danaus plexippus","-118.210506","34.12873","2016","2016-01-28"
"Danaus plexippus","-118.286511","33.884229","2016","2016-01-07"
"Danaus plexippus","-95.458329","29.955137","2016","2016-01-31"
"Danaus plexippus","-97.406779","27.652456","2016","2016-01-12"
"Danaus plexippus","-120.641283","35.142753","2016","2016-01-29"
"Danaus plexippus","-120.841693","35.32107","2016","2016-01-28"
"Danaus plexippus","-95.419722","29.0425","2016","2016-01-07"
"Danaus plexippus","-95.513702","29.971236","2016","2016-01-21"
"Danaus plexippus","-121.931051","36.626671","2016","2016-01-20"
"Danaus plexippus","-80.353575","26.130782","2016","2016-01-16"
"Danaus plexippus","-95.513984","29.803513","2016","2016-01-14"
"Danaus plexippus","-95.401939","29.828624","2016","2016-01-15"
"Danaus plexippus","-95.405154","29.977287","2016","2016-01-24"
"Danaus plexippus","-95.432073","29.913429","2016","2016-01-11"
"Danaus plexippus","-119.880124","34.421871","2016","2016-01-22"
"Danaus plexippus","-118.38566","34.116502","2016","2016-01-21"
"Danaus plexippus","-118.288887","34.018341","2016","2016-01-29"
"Danaus plexippus","-95.541561","29.975803","2016","2016-01-30"
"Danaus plexippus","-118.180497","33.604861","2016","2016-01-30"
"Danaus plexippus","-122.476377","37.767982","2016","2016-01-27"
"Danaus plexippus","-80.359536","26.127087","2016","2016-01-03"
"Danaus plexippus","-95.497573","29.924942","2016","2016-01-12"
"Danaus plexippus","-95.46744","29.938341","2016","2016-01-19"
"Danaus plexippus","-118.003055","33.703437","2016","2016-01-24"
"Danaus plexippus","-95.419722","29.0425","2016","2016-01-07"
